id_siniestro,id_poliza,id_asegurado,id_vehiculo,id_proveedor,ramo,cobertura,ciudad,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,suma_asegurada,estado,descripcion,documentos_completos,etiqueta_fraude_simulada,fecha_inicio_poliza,fecha_fin_poliza,historial_siniestros_asegurado,score_heuristico,prediccion_ml,probabilidad_ml,score_final,nivel_riesgo,reglas_criticas_activadas,factores_principales,explicacion_final,accion_sugerida,mensaje_ia,en_lista_restrictiva
SIN-2026-1001,POL-2001,ASEG-028,,PROV-007,Hogar,Responsabilidad civil,Guayaquil,2025-10-11,2025-11-21,23976,17821,0,28968,Pendiente,Robo del vehículo estacionado en la vía pública durante la madrugada; el asegurado no presenta testigos ni evidencia adicional.,true,1,2025-03-08,2026-03-06,7,84,1,0.56,95,ROJO,RF-02,Reporte tardío del siniestro; Historial elevado de reclamos del asegurado; Monto reclamado atípico respecto a la suma asegurada,Se activaron reglas críticas (RF-02). El análisis heurístico arrojó un score de 95/100 (Reporte tardío del siniestro; Historial elevado de reclamos del asegurado; Monto reclamado atípico respecto a la suma asegurada). El modelo ML estimó una probabilidad de fraude del 56% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1002,POL-2002,ASEG-030,VEH-002,PROV-007,Vehículos,Daños a terceros,Ambato,2025-12-10,2025-12-11,22962,19611,0,27945,En análisis,Robo del vehículo en estacionamiento no vigilado durante horas de la noche.,true,1,2025-04-07,2026-04-21,7,67,1,0.67,99,ROJO,RF-02,Historial elevado de reclamos del asegurado; Proveedor con historial recurrente de alertas; Monto reclamado atípico respecto a la suma asegurada,Se activaron reglas críticas (RF-02). El análisis heurístico arrojó un score de 99/100 (Historial elevado de reclamos del asegurado; Proveedor con historial recurrente de alertas; Monto reclamado atípico respecto a la suma asegurada). El modelo ML estimó una probabilidad de fraude del 67% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1003,POL-2003,ASEG-017,,PROV-005,Salud,Hospitalización,Guayaquil,2025-12-08,2025-12-21,22391,20989,0,30079,Pendiente,Robo del vehículo estacionado en la vía pública durante la madrugada; el asegurado no presenta testigos ni evidencia adicional.,true,1,2025-05-16,2026-05-01,3,45,0,0.2,80,ROJO,"RF-07,RF-01",Reporte tardío del siniestro; Inconsistencia entre el informe pericial y la denuncia; Documentación incompleta o ilegible,"Se activaron reglas críticas (RF-07,RF-01). El análisis heurístico arrojó un score de 80/100 (Reporte tardío del siniestro; Inconsistencia entre el informe pericial y la denuncia; Documentación incompleta o ilegible). El modelo ML no identificó patrones históricos de alto riesgo (probabilidad 20%). El caso presenta riesgo ALTO y requiere revisión prioritaria.",Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,false
SIN-2026-1004,POL-2004,ASEG-019,,PROV-007,Vida,Renta,Guayaquil,2025-10-05,2025-11-25,118504,98024,0,135102,En análisis,Solicitud de indemnización por invalidez parcial permanente.,false,1,2025-01-26,2026-01-14,2,40,1,0.84,89,ROJO,RF-02,Similitud narrativa con otros siniestros; Reporte tardío del siniestro; Documentación incompleta o ilegible,Se activaron reglas críticas (RF-02). El análisis heurístico arrojó un score de 89/100 (Similitud narrativa con otros siniestros; Reporte tardío del siniestro; Documentación incompleta o ilegible). El modelo ML estimó una probabilidad de fraude del 84% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1005,POL-2005,ASEG-038,,PROV-003,Hogar,Incendio,Manta,2025-10-20,2025-10-28,16031,13231,0,20170,Pendiente,Robo del vehículo estacionado en la vía pública durante la madrugada; el asegurado no presenta testigos ni evidencia adicional.,false,1,2025-08-06,2026-08-16,2,73,1,0.96,78,ROJO,RF-02,Historial elevado de reclamos del asegurado; Inconsistencia entre el informe pericial y la denuncia; Reporte tardío del siniestro,Se activaron reglas críticas (RF-02). El análisis heurístico arrojó un score de 78/100 (Historial elevado de reclamos del asegurado; Inconsistencia entre el informe pericial y la denuncia; Reporte tardío del siniestro). El modelo ML estimó una probabilidad de fraude del 96% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1006,POL-2006,ASEG-019,VEH-006,PROV-006,Vehículos,Pérdida total,Quito,2025-11-16,2025-12-28,30019,27840,0,38457,Pendiente,Daños por impacto lateral atribuidos a un tercero no identificado.,false,1,2025-08-05,2026-08-25,8,35,1,0.66,86,ROJO,"RF-04,RF-02",Documentación incompleta o ilegible; Proveedor con historial recurrente de alertas; Siniestro ocurrido cerca del inicio de la póliza,"Se activaron reglas críticas (RF-04,RF-02). El análisis heurístico arrojó un score de 86/100 (Documentación incompleta o ilegible; Proveedor con historial recurrente de alertas; Siniestro ocurrido cerca del inicio de la póliza). El modelo ML estimó una probabilidad de fraude del 66% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.",Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,false
SIN-2026-1007,POL-2007,ASEG-028,,PROV-003,Salud,Emergencia,Loja,2025-12-06,2025-12-25,8570,7296,0,9842,En análisis,Robo del vehículo estacionado en la vía pública durante la madrugada; el asegurado no presenta testigos ni evidencia adicional.,false,1,2025-01-25,2026-01-27,3,97,1,0.68,86,ROJO,RF-02,Inconsistencia entre el informe pericial y la denuncia; Historial elevado de reclamos del asegurado; Monto reclamado atípico respecto a la suma asegurada,Se activaron reglas críticas (RF-02). El análisis heurístico arrojó un score de 86/100 (Inconsistencia entre el informe pericial y la denuncia; Historial elevado de reclamos del asegurado; Monto reclamado atípico respecto a la suma asegurada). El modelo ML estimó una probabilidad de fraude del 68% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1008,POL-2008,ASEG-030,VEH-008,PROV-005,Vehículos,Robo,Cuenca,2025-11-28,2025-12-28,13964,10360,0,18051,Pendiente,Pérdida total declarada tras incidente vial; el vehículo no fue recuperado.,false,0,2025-02-25,2026-02-15,6,89,1,0.52,82,ROJO,RF-02,Siniestro ocurrido cerca del inicio de la póliza; Inconsistencia entre el informe pericial y la denuncia; Historial elevado de reclamos del asegurado,Se activaron reglas críticas (RF-02). El análisis heurístico arrojó un score de 82/100 (Siniestro ocurrido cerca del inicio de la póliza; Inconsistencia entre el informe pericial y la denuncia; Historial elevado de reclamos del asegurado). El modelo ML estimó una probabilidad de fraude del 52% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,false
SIN-2026-1009,POL-2009,ASEG-060,,PROV-004,Salud,Cirugía,Quito,2025-10-06,2025-10-23,11719,8447,0,13104,Pendiente,Reclamo por hospitalización de emergencia con intervención quirúrgica.,false,1,2025-05-07,2026-05-09,5,39,1,0.74,94,ROJO,RF-01,Proveedor con historial recurrente de alertas; Similitud narrativa con otros siniestros; Reporte tardío del siniestro,Se activaron reglas críticas (RF-01). El análisis heurístico arrojó un score de 94/100 (Proveedor con historial recurrente de alertas; Similitud narrativa con otros siniestros; Reporte tardío del siniestro). El modelo ML estimó una probabilidad de fraude del 74% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,false
SIN-2026-1010,POL-2010,ASEG-054,,PROV-001,Salud,Emergencia,Loja,2025-10-03,2025-11-12,27429,20267,0,35020,En análisis,Solicitud de reembolso por tratamiento ambulatorio prolongado.,false,0,2025-01-02,2026-01-14,8,85,1,0.57,77,ROJO,RF-02,Similitud narrativa con otros siniestros; Reporte tardío del siniestro; Monto reclamado atípico respecto a la suma asegurada,Se activaron reglas críticas (RF-02). El análisis heurístico arrojó un score de 77/100 (Similitud narrativa con otros siniestros; Reporte tardío del siniestro; Monto reclamado atípico respecto a la suma asegurada). El modelo ML estimó una probabilidad de fraude del 57% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,false
