id_siniestro,id_poliza,id_asegurado,id_vehiculo,id_proveedor,id_conductor,ramo,cobertura,estado,ciudad,provincia,sucursal,fecha_ocurrencia,fecha_reporte,fecha_inicio_poliza,fecha_fin_poliza,monto_reclamado,monto_estimado,monto_pagado,suma_asegurada,deducible,descripcion,documentos_completos,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,ratio_monto_suma_asegurada,ratio_monto_estimado,diferencia_monto_reclamado_estimado,historial_siniestros_asegurado,historial_siniestros_vehiculo,historial_siniestros_conductor,frecuencia_proveedor,documentos_faltantes,documentos_inconsistentes,proveedor_recurrente,monto_atipico,reporte_tardio,borde_vigencia,flag_borde_vigencia,flag_robo_denuncia_tardia,flag_reporte_tardio,flag_monto_atipico,flag_documentos_incompletos,flag_documentos_inconsistentes,flag_proveedor_recurrente,flag_proveedor_lista_restrictiva,flag_alta_frecuencia_asegurado,flag_alta_frecuencia_vehiculo,flag_alta_frecuencia_conductor,flag_sin_tercero_identificado,flag_dinamica_sospechosa,flag_narrativa_clonada,flag_cobertura_robo_total,score_reglas,nivel_reglas,reglas_activadas,alertas_reglas,explicacion_reglas,etiqueta_fraude_simulada,source_file,mapping_confidence,data_quality_score,limitacion_registro,mensaje_etico_reglas
SIN-CD4DA2BC,POL-3EF6B742,ASG-18CDD2DA,,PROV-99984CFF,,Salud,Hospitalización,Cerrado - Rechazado,Desamparados,San José,,2022-08-30,2022-09-04,2021-12-10,2023-05-04,33950900.0,25815900.0,22061400.0,50486000.0,4276400.0,Choque con poste de alumbrado al perder el control por aquaplaning.,True,263,247,5,0.6725,1.3151,8135000.0,9,0,0,11,0,0,True,False,False,False,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,21,Amarillo,"RF-PROV-01, RF-FREC-01, RF-07",RF-PROV-01: Proveedor recurrente (5 pts) | RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-CD4DA2BC: Sin indicadores de riesgo activos. Puntaje de reglas: 21/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-D3F40058,POL-2CD2AF05,ASG-EC19BA9D,VEH-45BDB878,PROV-C1184442,,Autos,Daños a Terceros,Cerrado - Rechazado,Tibás,San José,,2025-01-31,2025-02-02,2023-05-17,2025-02-04,2130500.0,2359300.0,,8842000.0,486300.0,Impacto lateral al salir de estacionamiento.,True,625,4,2,0.241,0.903,-228800.0,2,3,0,8,0,0,False,False,False,True,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,Amarillo,"RF-05, RF-FREC-02, RF-07",RF-05: Siniestro extremo al borde de vigencia (8 pts) | RF-FREC-02: Alta frecuencia vehículo (6 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-D3F40058: Sin indicadores de riesgo activos. Puntaje de reglas: 22/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-F5AE2464,POL-A4181D9B,ASG-5024C376,VEH-F433EFCD,PROV-A16C127D,,Autos,Colisión,Cerrado - Rechazado,San José,San José,,2022-11-04,2022-11-10,2022-04-30,2023-06-28,16713500.0,13692600.0,12015300.0,24709000.0,1227600.0,Robo del vehículo en zona comercial durante horas nocturnas. Se presentó denuncia policial.,True,188,236,6,0.6764,1.2206,3020900.0,5,4,0,11,0,0,True,False,False,False,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,27,Amarillo,"RF-PROV-01, RF-FREC-01, RF-FREC-02, RF-07",RF-PROV-01: Proveedor recurrente (5 pts) | RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-FREC-02: Alta frecuencia vehículo (6 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-F5AE2464: Sin indicadores de riesgo activos. Puntaje de reglas: 27/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-861EF864,POL-886551D4,ASG-7D46B7D7,,PROV-382889D2,,Salud,Medicamentos,Abierto,Santa Ana,San José,,2023-05-11,2023-05-13,2022-08-10,2023-12-08,4963800.0,3552200.0,3208900.0,7663000.0,503600.0,Robo del vehículo en zona comercial durante horas nocturnas. Se presentó denuncia policial.,True,274,211,2,0.6478,1.3974,1411600.0,3,0,0,10,0,0,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16,Verde,"RF-FREC-01, RF-07",RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-861EF864: Sin indicadores de riesgo activos. Puntaje de reglas: 16/100. Nivel: Verde.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-A7A37294,POL-2511EB36,ASG-992EF204,VEH-F433EFCD,PROV-FE47152E,,Autos,Daños a Terceros,Cerrado - Rechazado,Alajuela,Alajuela,,2022-03-19,2022-03-21,2022-01-05,2023-05-13,4004400.0,4111300.0,3642000.0,8207000.0,224000.0,Impacto lateral al salir de estacionamiento.,False,73,420,2,0.4879,0.974,-106900.0,4,4,0,6,2,0,False,False,False,False,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,26,Amarillo,"RF-DOC-01, RF-FREC-01, RF-FREC-02, RF-07",RF-DOC-01: Documentos incompletos (4 pts) | RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-FREC-02: Alta frecuencia vehículo (6 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-A7A37294: Sin indicadores de riesgo activos. Puntaje de reglas: 26/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-AE53C670,POL-01A02BF3,ASG-1BF50A04,VEH-8DA1D5CA,PROV-404C5188,,Autos,Pérdida Total,En ajuste,Pérez Zeledón,San José,,2023-08-21,2023-08-22,2022-10-13,2024-07-21,1810300.0,1789400.0,1639300.0,15687000.0,528600.0,Accidente a baja velocidad en parqueo de supermercado.,True,312,335,1,0.1154,1.0117,20900.0,3,1,0,10,0,0,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,26,Amarillo,"RF-FREC-01, RF-07, RF-01",RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-07: Narrativa idéntica o clonada (8 pts) | RF-01: Cobertura Pérdida Total por Robo (10 pts),Siniestro SIN-AE53C670: Sin indicadores de riesgo activos. Puntaje de reglas: 26/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-973BF1CA,POL-5EE2478E,ASG-C9245B72,VEH-71325233,PROV-E46E3CF2,,Autos,Pérdida Total,Cerrado - Pagado,Puntarenas,Puntarenas,,2024-03-18,2024-03-21,2023-01-01,2024-06-19,23311100.0,21725400.0,20044200.0,49140000.0,1621600.0,Choque con poste de alumbrado al perder el control por aquaplaning.,True,442,93,3,0.4744,1.073,1585700.0,3,3,0,19,0,0,True,False,False,False,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,37,Amarillo,"RF-PROV-01, RF-FREC-01, RF-FREC-02, RF-07, RF-01",RF-PROV-01: Proveedor recurrente (5 pts) | RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-FREC-02: Alta frecuencia vehículo (6 pts) | RF-07: Narrativa idéntica o clonada (8 pts) | RF-01: Cobertura Pérdida Total por Robo (10 pts),Siniestro SIN-973BF1CA: Sin indicadores de riesgo activos. Puntaje de reglas: 37/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-C500D47A,POL-116ACCF4,ASG-48B7CA52,,PROV-61229BE4,,Salud,Hospitalización,En ajuste,Escazú,San José,,2022-04-20,2022-04-25,2022-02-04,2023-10-02,6783400.0,4798000.0,4169300.0,29810000.0,2344100.0,Robo de moto en estacionamiento público.,True,75,530,5,0.2276,1.4138,1985400.0,7,0,0,8,0,0,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16,Verde,"RF-FREC-01, RF-07",RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-C500D47A: Sin indicadores de riesgo activos. Puntaje de reglas: 16/100. Nivel: Verde.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-E16D479F,POL-0E299E3F,ASG-D4774C17,,PROV-E46E3CF2,,Vida,Invalidez Total,En investigación,Cartago,Cartago,,2021-11-09,2021-11-12,2021-09-24,2022-12-22,13344500.0,9910000.0,,30671000.0,2561200.0,Colisión frontal con otro vehículo en intersección sin semáforo.,False,46,408,3,0.4351,1.3466,3434500.0,8,0,0,19,2,0,True,False,False,False,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,25,Amarillo,"RF-DOC-01, RF-PROV-01, RF-FREC-01, RF-07",RF-DOC-01: Documentos incompletos (4 pts) | RF-PROV-01: Proveedor recurrente (5 pts) | RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-E16D479F: Sin indicadores de riesgo activos. Puntaje de reglas: 25/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-CC69235A,POL-BB572F2D,ASG-7EEC1BE6,VEH-AA530808,PROV-DA424E91,,Autos,Robo Total,En investigación,Santa Ana,San José,,2023-12-16,2023-12-22,2022-10-21,2024-09-28,15833700.0,12146800.0,11550200.0,46375000.0,2684300.0,Daño en parabrisas por piedra proyectada desde camión.,True,421,287,6,0.3414,1.3035,3686900.0,2,3,0,4,0,0,False,False,False,False,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,32,Amarillo,"RF-06, RF-FREC-02, RF-07, RF-01",RF-06: Demora atípica en denuncia de robo (8 pts) | RF-FREC-02: Alta frecuencia vehículo (6 pts) | RF-07: Narrativa idéntica o clonada (8 pts) | RF-01: Cobertura Pérdida Total por Robo (10 pts),Siniestro SIN-CC69235A: Sin indicadores de riesgo activos. Puntaje de reglas: 32/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
